Shift,Method,$f_m$,$f_i$,$f_t$,All
TE,delta,84.91 ± 0.87,85.4 ± 0.99,85.44 ± 1.32,85.27 ± 0.86
TE,extrapolation,85.31 ± 1.06,85.56 ± 1.32,84.69 ± 0.72,85.72 ± 0.54
TE,mixstyle,85.09 ± 1.02,85.41 ± 0.95,85.55 ± 0.93,85.13 ± 0.91
TE,noise,85.2 ± 0.64,85.04 ± 0.7,85.23 ± 0.78,85.49 ± 0.57
age,delta,80.72 ± 1.44,81.62 ± 1.08,81.73 ± 0.98,80.64 ± 1.47
age,extrapolation,81.36 ± 1.13,82.0 ± 1.04,82.05 ± 0.96,81.62 ± 0.95
age,mixstyle,81.92 ± 0.91,81.96 ± 1.1,81.76 ± 0.44,81.7 ± 0.67
age,noise,81.63 ± 0.72,81.79 ± 1.12,81.55 ± 1.01,81.87 ± 0.43
normal,delta,83.97 ± 0.69,83.87 ± 1.12,84.08 ± 0.55,83.53 ± 0.99
normal,extrapolation,84.03 ± 1.04,83.84 ± 1.28,84.35 ± 0.38,83.79 ± 0.79
normal,mixstyle,84.03 ± 0.8,84.36 ± 0.55,84.4 ± 0.36,83.57 ± 1.7
normal,noise,83.81 ± 1.84,83.79 ± 1.85,84.27 ± 0.28,83.63 ± 1.89
weight,delta,85.23 ± 0.29,85.58 ± 0.35,85.09 ± 1.33,84.9 ± 0.87
weight,extrapolation,85.28 ± 0.28,85.38 ± 0.39,85.39 ± 0.94,85.46 ± 0.3
weight,mixstyle,85.49 ± 0.38,85.76 ± 0.31,85.73 ± 0.23,85.64 ± 0.3
weight,noise,84.93 ± 1.21,85.68 ± 0.18,85.41 ± 0.56,85.31 ± 0.31
