Shift,Method,$f_m$,$f_i$,$f_t$,All
TE,delta,78.8,81.0,81.8,80.2
TE,extrapolation,80.1,80.7,81.2,80.8
TE,mixstyle,81.6,81.5,80.8,80.9
TE,noise,81.0,79.8,80.6,80.6
age,delta,79.9,80.4,81.6,79.4
age,extrapolation,81.4,81.4,81.3,81.5
age,mixstyle,81.3,81.3,80.4,81.7
age,noise,79.3,81.1,81.4,79.8
normal,delta,74.6,75.4,75.0,73.8
normal,extrapolation,75.8,75.1,75.7,74.8
normal,mixstyle,75.6,75.8,75.8,75.0
normal,noise,75.6,75.0,75.9,75.1
weight,delta,80.6,84.2,83.0,80.5
weight,extrapolation,81.5,83.1,83.4,81.9
weight,mixstyle,83.6,83.9,83.0,83.7
weight,noise,82.8,83.6,83.6,82.9
